Timestamp,Score,Snickers,KitKat,Twix,Ghirardelli Squares,Reeses,JollyRancher,Twizzlers/ Red Vines,Lollipops,SourPatch,Skittles,Apples / Fruits / Floss,Allergies or dietary restrictions?,Any comments and/or questions?,How young are you?,Where do you prefer to buy your candy?,M&M's,"Toys (Yoyo's, Slinkys, KeyChains)"
9/2/2024 12:31:04,,5,5,5,4,5,1,2,3,3,2,1,Halal,I like Marshmellow Candy,26-35,Target,3,2
9/2/2024 12:37:20,,5,5,5,5,5,1,2,3,3,2,1,Vegan,Caramel!,26-35,Walmart,3,2
9/3/2024 23:33:15,,4,2,4,3,5,3,2,3,4,4,3,None,,18-25,Dollar Tree,3,2
9/4/2024 6:40:30,,4,5,2,1,5,5,1,1,5,3,1,None,,18-25,Walmart,4,2
9/4/2024 11:41:48,,3,4,3,3,3,1,2,2,3,2,1,Kosher,,18-25,Walmart,3,1
9/4/2024 13:11:58,,5,5,1,5,3,1,1,1,1,1,5,None,,18-25,Walmart,5,3
9/4/2024 16:58:07,,5,5,3,5,5,5,5,3,5,5,4,None,,35-55,"Candy Store (Hersheys, M&M, Lames, etc)",4,5
9/4/2024 22:20:06,,4,3,5,4,2,1,2,1,1,2,3,Halal,Nope,18-25,Walmart,1,3
9/4/2024 22:32:42,,1,3,4,1,2,3,3,1,2,1,1,None,,18-25,Walmart,1,4
9/5/2024 14:42:37,,2,5,2,3,3,4,3,3,4,5,4,Lactose-intolerance,,18-25,Walmart,3,3
9/6/2024 11:09:50,,4,5,4,1,5,1,1,3,1,4,1,Halal,"I put ""1"" where I haven't tried the candy because there wasn't any other option",0-17,Local supermarket,4,4
9/7/2024 7:19:47,,3,2,3,1,3,1,1,1,3,3,5,Halal,pay me 50000$,56 and above,fat nigga wares,4,3
9/7/2024 13:08:55,,5,5,5,5,5,2,2,3,4,4,2,Halal,CHOCOLATE! 🍫,26-35,Dollar Tree,5,4
9/8/2024 11:58:36,,4,5,5,3,3,2,3,1,3,3,1,None,“Reese’s” too broad,35-55,"Candy Store (Hersheys, M&M, Lames, etc)",3,1
9/8/2024 12:07:43,,5,1,4,3,5,1,1,1,2,2,5,None,,35-55,Other,5,1
9/8/2024 12:08:24,,5,5,4,3,4,4,1,3,3,5,5,None,,35-55,Other,5,4
9/8/2024 12:15:23,,3,4,5,5,5,2,2,1,2,3,4,None,,35-55,Other,3,2
9/8/2024 12:19:26,,2,3,3,4,1,1,1,1,1,1,1,None,,56 and above,Other,5,1
9/8/2024 12:21:10,,4,4,4,5,5,4,3,1,4,2,1,None,,26-35,Target,2,3
